"d-flex href","symbol","text-start","text-start 2","text-decoration-none href","symbol 2","btn-quote","text-center href","text-decoration-none href 2","symbol 3"
"https://www.set.or.th/th/market/product/stock/quote/PSTC/price","PSTC","บริษัท เพาเวอร์ โซลูชั่น เทคโนโลยี จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/resourc","RESOURC","-","https://www.set.or.th/th/market/product/stock/quote/PSTC/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PT/price","PT","บริษัท พรีเมียร์ เทคโนโลยี จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/tech","TECH","","https://www.set.or.th/th/market/product/stock/quote/PT/factsheet","https://www.set.or.th/th/market/index/set/tech/ict","ICT"
"https://www.set.or.th/th/market/product/stock/quote/PTC/price","PTC","บริษัท พรีเมียร์ แทงค์ คอร์ปอเรชั่น จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/resourc","RESOURC","-","https://www.set.or.th/th/market/product/stock/quote/PTC/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/PTECH/price","PTECH","บริษัท พลัส เทค อินโนเวชั่น จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/PTECH/factsheet","https://www.set.or.th/th/market/index/set/service/media","MEDIA"
"https://www.set.or.th/th/market/product/stock/quote/PTG/price","PTG","บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/PTG/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/PTL/price","PTL","บริษัท โพลีเพล็กซ์ (ประเทศไทย) จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/PTL/factsheet","https://www.set.or.th/th/market/index/set/indus/pkg","PKG"
"https://www.set.or.th/th/market/product/stock/quote/PTT/price","PTT","บริษัท ปตท. จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/PTT/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/PTTEP/price","PTTEP","บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/PTTEP/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/PTTGC/price","PTTGC","บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/PTTGC/factsheet","https://www.set.or.th/th/market/index/set/indus/petro","PETRO"
"https://www.set.or.th/th/market/product/stock/quote/PYLON/price","PYLON","บริษัท ไพลอน จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/PYLON/factsheet","https://www.set.or.th/th/market/index/set/propcon/cons","CONS"
"https://www.set.or.th/th/market/product/stock/quote/Q-CON/price","Q-CON","บริษัท ควอลิตี้คอนสตรัคชั่นโปรดัคส์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/Q-CON/factsheet","https://www.set.or.th/th/market/index/set/propcon/conmat","CONMAT"
"https://www.set.or.th/th/market/product/stock/quote/QH/price","QH","บริษัท ควอลิตี้เฮ้าส์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/QH/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/QHHRREIT/price","QHHRREIT","ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า ควอลิตี้ เฮ้าส์ โฮเทล แอนด์ เรซิเดนซ์","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/QHHRREIT/factsheet","https://www.set.or.th/th/market/index/set/propcon/pf&reit","PF&REIT"
"https://www.set.or.th/th/market/product/stock/quote/QHOP/price","QHOP","กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ ฮอสพิทอลลิตี้","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/QHOP/factsheet","https://www.set.or.th/th/market/index/set/propcon/pf&reit","PF&REIT"
"https://www.set.or.th/th/market/product/stock/quote/QHPF/price","QHPF","กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ เฮ้าส์","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/QHPF/factsheet","https://www.set.or.th/th/market/index/set/propcon/pf&reit","PF&REIT"
"https://www.set.or.th/th/market/product/stock/quote/QLT/price","QLT","บริษัท ควอลลีเทค จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/service","SERVICE","-","https://www.set.or.th/th/market/product/stock/quote/QLT/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/QTC/price","QTC","บริษัท คิวทีซี เอนเนอร์ยี่ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/indus","INDUS","","https://www.set.or.th/th/market/product/stock/quote/QTC/factsheet","https://www.set.or.th/th/market/index/set/indus/imm","IMM"
"https://www.set.or.th/th/market/product/stock/quote/QTCG/price","QTCG","บริษัท คิวทีซีจี จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/propcon","PROPCON","-","https://www.set.or.th/th/market/product/stock/quote/QTCG/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/RABBIT/price","RABBIT","บริษัท แรบบิท โฮลดิ้งส์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/RABBIT/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/RAM/price","RAM","บริษัท โรงพยาบาลรามคำแหง จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/RAM/factsheet","https://www.set.or.th/th/market/index/set/service/helth","HELTH"
"https://www.set.or.th/th/market/product/stock/quote/RATCH/price","RATCH","บริษัท ราช กรุ๊ป จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/resourc","RESOURC","","https://www.set.or.th/th/market/product/stock/quote/RATCH/factsheet","https://www.set.or.th/th/market/index/set/resourc/energ","ENERG"
"https://www.set.or.th/th/market/product/stock/quote/RBF/price","RBF","บริษัท อาร์ แอนด์ บี ฟู้ด ซัพพลาย จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/agro","AGRO","","https://www.set.or.th/th/market/product/stock/quote/RBF/factsheet","https://www.set.or.th/th/market/index/set/agro/food","FOOD"
"https://www.set.or.th/th/market/product/stock/quote/RCL/price","RCL","บริษัท อาร์ ซี แอล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/RCL/factsheet","https://www.set.or.th/th/market/index/set/service/trans","TRANS"
"https://www.set.or.th/th/market/product/stock/quote/READY/price","READY","บริษัท เรดดี้แพลนเน็ต จำกัด (มหาชน)","mai","https://www.set.or.th/th/market/index/mai/tech","TECH","-","https://www.set.or.th/th/market/product/stock/quote/READY/factsheet","",""
"https://www.set.or.th/th/market/product/stock/quote/RICHY/price","RICHY","บริษัท ริชี่ เพลซ 2002 จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/RICHY/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/RJH/price","RJH","บริษัท โรงพยาบาลราชธานี จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/RJH/factsheet","https://www.set.or.th/th/market/index/set/service/helth","HELTH"
"https://www.set.or.th/th/market/product/stock/quote/RML/price","RML","บริษัท ไรมอน แลนด์ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/propcon","PROPCON","","https://www.set.or.th/th/market/product/stock/quote/RML/factsheet","https://www.set.or.th/th/market/index/set/propcon/prop","PROP"
"https://www.set.or.th/th/market/product/stock/quote/ROCK/price","ROCK","บริษัท ร้อกเวิธ จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/consump","CONSUMP","","https://www.set.or.th/th/market/product/stock/quote/ROCK/factsheet","https://www.set.or.th/th/market/index/set/consump/home","HOME"
"https://www.set.or.th/th/market/product/stock/quote/ROCTEC/price","ROCTEC","บริษัท ร็อคเทค โกลบอล จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/tech","TECH","","https://www.set.or.th/th/market/product/stock/quote/ROCTEC/factsheet","https://www.set.or.th/th/market/index/set/tech/ict","ICT"
"https://www.set.or.th/th/market/product/stock/quote/ROH/price","ROH","บริษัท โรงแรมรอยัล ออคิด (ประเทศไทย) จำกัด (มหาชน)","SET","https://www.set.or.th/th/market/index/set/service","SERVICE","","https://www.set.or.th/th/market/product/stock/quote/ROH/factsheet","https://www.set.or.th/th/market/index/set/service/tourism","TOURISM"
